attack
attacked
attacking
attacker

bomb
bombed
bombing
bomber

destroy
destroyed
destroying
destroyer

kill
killed
killing
killer

murder
murdered
murdering
murderer

shoot
shot
shooting
shooter

vioent
violence
